startDate,endDate,value,unit,sourceName,creationDate,value_m
2023-12-27 06:17:21-06:00,2023-12-27 06:17:47 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:18:22 -0600,25.0
2023-12-27 06:17:53-06:00,2023-12-27 06:18:16 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:18:52 -0600,25.0
2023-12-27 06:18:19-06:00,2023-12-27 06:18:45 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:19:26 -0600,25.0
2023-12-27 06:18:51-06:00,2023-12-27 06:19:16 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:20:04 -0600,25.0
2023-12-27 06:19:26-06:00,2023-12-27 06:19:57 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:20:35 -0600,25.0
2023-12-27 06:19:58-06:00,2023-12-27 06:20:29 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:21:08 -0600,25.0
2023-12-27 06:20:31-06:00,2023-12-27 06:21:00 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:21:47 -0600,25.0
2023-12-27 06:21:02-06:00,2023-12-27 06:21:40 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:22:31 -0600,25.0
2023-12-27 06:21:40-06:00,2023-12-27 06:22:24 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:23:12 -0600,25.0
2023-12-27 06:22:24-06:00,2023-12-27 06:23:06 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:23:42 -0600,25.0
2023-12-27 06:23:06-06:00,2023-12-27 06:23:42 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:23:42 -0600,25.0
2023-12-27 06:25:03-06:00,2023-12-27 06:25:24 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:26:16 -0600,25.0
2023-12-27 06:25:28-06:00,2023-12-27 06:25:56 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:26:57 -0600,25.0
2023-12-27 06:26:32-06:00,2023-12-27 06:26:51 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:27:41 -0600,25.0
2023-12-27 06:26:52-06:00,2023-12-27 06:27:28 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:28:32 -0600,25.0
2023-12-27 06:27:54-06:00,2023-12-27 06:28:25 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:29:03 -0600,25.0
2023-12-27 06:28:28-06:00,2023-12-27 06:28:56 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:29:44 -0600,25.0
2023-12-27 06:29:18-06:00,2023-12-27 06:29:38 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:30:38 -0600,25.0
2023-12-27 06:29:42-06:00,2023-12-27 06:30:03 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:31:40 -0600,25.0
2023-12-27 06:31:13-06:00,2023-12-27 06:31:33 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:32:05 -0600,25.0
2023-12-27 06:31:37-06:00,2023-12-27 06:31:59 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:32:34 -0600,25.0
2023-12-27 06:32:05-06:00,2023-12-27 06:32:26 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:33:07 -0600,25.0
2023-12-27 06:32:30-06:00,2023-12-27 06:32:56 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:33:48 -0600,25.0
2023-12-27 06:33:18-06:00,2023-12-27 06:33:41 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:34:24 -0600,25.0
2023-12-27 06:33:50-06:00,2023-12-27 06:34:18 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:34:57 -0600,25.0
2023-12-27 06:34:26-06:00,2023-12-27 06:34:52 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:35:41 -0600,25.0
2023-12-27 06:34:55-06:00,2023-12-27 06:35:31 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:36:48 -0600,25.0
2023-12-27 06:36:12-06:00,2023-12-27 06:36:42 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:37:21 -0600,25.0
2023-12-27 06:36:44-06:00,2023-12-27 06:37:14 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:37:52 -0600,25.0
2023-12-27 06:37:16-06:00,2023-12-27 06:37:46 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:38:36 -0600,25.0
2023-12-27 06:37:51-06:00,2023-12-27 06:38:28 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:39:09 -0600,25.0
2023-12-27 06:38:28-06:00,2023-12-27 06:39:02 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:39:42 -0600,25.0
2023-12-27 06:39:07-06:00,2023-12-27 06:39:36 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:40:08 -0600,25.0
2023-12-27 06:39:41-06:00,2023-12-27 06:40:01 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:40:44 -0600,25.0
2023-12-27 06:40:03-06:00,2023-12-27 06:40:36 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:43:26 -0600,25.0
2023-12-27 06:42:45-06:00,2023-12-27 06:43:19 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:43:56 -0600,25.0
2023-12-27 06:43:20-06:00,2023-12-27 06:43:51 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:44:30 -0600,25.0
2023-12-27 06:43:55-06:00,2023-12-27 06:44:22 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:45:01 -0600,25.0
2023-12-27 06:44:26-06:00,2023-12-27 06:44:55 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:45:34 -0600,25.0
2023-12-27 06:45:01-06:00,2023-12-27 06:45:26 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:46:05 -0600,25.0
2023-12-27 06:45:32-06:00,2023-12-27 06:45:58 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:46:38 -0600,25.0
2023-12-27 06:46:03-06:00,2023-12-27 06:46:29 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:47:19 -0600,25.0
2023-12-27 06:46:32-06:00,2023-12-27 06:47:05 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:48:57 -0600,25.0
2023-12-27 06:48:29-06:00,2023-12-27 06:48:49 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:49:22 -0600,25.0
2023-12-27 06:48:53-06:00,2023-12-27 06:49:16 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:49:48 -0600,25.0
2023-12-27 06:49:22-06:00,2023-12-27 06:49:43 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:50:24 -0600,25.0
2023-12-27 06:49:48-06:00,2023-12-27 06:50:15 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:53:08 -0600,25.0
2023-12-27 06:51:56-06:00,2023-12-27 06:53:02 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:53:55 -0600,25.0
2023-12-27 06:53:02-06:00,2023-12-27 06:53:48 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:54:41 -0600,25.0
2023-12-27 06:53:48-06:00,2023-12-27 06:54:35 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:55:09 -0600,25.0
2023-12-27 06:54:35-06:00,2023-12-27 06:55:03 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:55:35 -0600,25.0
2023-12-27 06:55:03-06:00,2023-12-27 06:55:28 -0600,25,m,Luis’s Apple Watch,2023-12-27 06:59:26 -0600,25.0
2023-12-27 06:57:11-06:00,2023-12-27 06:59:19 -0600,25,m,Luis’s Apple Watch,2023-12-27 07:01:47 -0600,25.0
2023-12-27 07:01:21-06:00,2023-12-27 07:01:42 -0600,25,m,Luis’s Apple Watch,2023-12-27 07:02:18 -0600,25.0
2023-12-27 07:01:49-06:00,2023-12-27 07:02:09 -0600,25,m,Luis’s Apple Watch,2023-12-27 07:02:51 -0600,25.0
2023-12-27 07:02:22-06:00,2023-12-27 07:02:45 -0600,25,m,Luis’s Apple Watch,2023-12-27 07:03:22 -0600,25.0
2023-12-27 07:02:49-06:00,2023-12-27 07:03:13 -0600,25,m,Luis’s Apple Watch,2023-12-27 07:03:53 -0600,25.0
2023-12-27 07:03:27-06:00,2023-12-27 07:03:48 -0600,25,m,Luis’s Apple Watch,2023-12-27 07:04:24 -0600,25.0
2023-12-27 07:03:51-06:00,2023-12-27 07:04:18 -0600,25,m,Luis’s Apple Watch,2023-12-27 07:05:05 -0600,25.0
2023-12-27 07:04:35-06:00,2023-12-27 07:04:59 -0600,25,m,Luis’s Apple Watch,2023-12-27 07:05:38 -0600,25.0
2023-12-27 07:05:03-06:00,2023-12-27 07:05:33 -0600,25,m,Luis’s Apple Watch,2023-12-27 07:06:11 -0600,25.0
2023-12-27 07:05:44-06:00,2023-12-27 07:06:05 -0600,25,m,Luis’s Apple Watch,2023-12-27 07:06:50 -0600,25.0
2023-12-27 07:06:10-06:00,2023-12-27 07:06:35 -0600,25,m,Luis’s Apple Watch,2023-12-27 07:07:57 -0600,25.0
2023-12-27 07:07:31-06:00,2023-12-27 07:07:51 -0600,25,m,Luis’s Apple Watch,2023-12-27 07:08:33 -0600,25.0
2023-12-27 07:07:53-06:00,2023-12-27 07:08:24 -0600,25,m,Luis’s Apple Watch,2023-12-27 07:09:03 -0600,25.0
2023-12-27 07:08:30-06:00,2023-12-27 07:08:57 -0600,25,m,Luis’s Apple Watch,2023-12-27 07:09:32 -0600,25.0
2023-12-27 07:09:01-06:00,2023-12-27 07:09:26 -0600,25,m,Luis’s Apple Watch,2023-12-27 07:10:02 -0600,25.0
2023-12-27 07:09:28-06:00,2023-12-27 07:09:55 -0600,25,m,Luis’s Apple Watch,2023-12-27 07:10:36 -0600,25.0
2023-12-27 07:10:00-06:00,2023-12-27 07:10:28 -0600,25,m,Luis’s Apple Watch,2023-12-27 07:14:37 -0600,25.0
2023-12-29 06:29:33-06:00,2023-12-29 06:29:49 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:30:24 -0600,25.0
2023-12-29 06:29:53-06:00,2023-12-29 06:30:16 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:30:49 -0600,25.0
2023-12-29 06:30:20-06:00,2023-12-29 06:30:43 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:31:17 -0600,25.0
2023-12-29 06:30:47-06:00,2023-12-29 06:31:11 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:31:43 -0600,25.0
2023-12-29 06:31:14-06:00,2023-12-29 06:31:38 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:32:11 -0600,25.0
2023-12-29 06:31:41-06:00,2023-12-29 06:32:05 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:32:40 -0600,25.0
2023-12-29 06:32:08-06:00,2023-12-29 06:32:33 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:33:05 -0600,25.0
2023-12-29 06:32:34-06:00,2023-12-29 06:32:59 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:33:31 -0600,25.0
2023-12-29 06:33:03-06:00,2023-12-29 06:33:25 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:33:59 -0600,25.0
2023-12-29 06:33:27-06:00,2023-12-29 06:33:54 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:34:27 -0600,25.0
2023-12-29 06:33:57-06:00,2023-12-29 06:34:21 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:34:56 -0600,25.0
2023-12-29 06:34:26-06:00,2023-12-29 06:34:50 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:35:29 -0600,25.0
2023-12-29 06:34:55-06:00,2023-12-29 06:35:22 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:36:02 -0600,25.0
2023-12-29 06:35:24-06:00,2023-12-29 06:35:56 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:36:28 -0600,25.0
2023-12-29 06:36:03-06:00,2023-12-29 06:36:23 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:37:12 -0600,25.0
2023-12-29 06:36:26-06:00,2023-12-29 06:36:51 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:38:34 -0600,25.0
2023-12-29 06:38:05-06:00,2023-12-29 06:38:27 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:39:05 -0600,25.0
2023-12-29 06:38:28-06:00,2023-12-29 06:38:58 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:39:53 -0600,25.0
2023-12-29 06:39:02-06:00,2023-12-29 06:39:30 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:40:17 -0600,25.0
2023-12-29 06:39:50-06:00,2023-12-29 06:40:11 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:40:52 -0600,25.0
2023-12-29 06:40:15-06:00,2023-12-29 06:40:47 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:41:34 -0600,25.0
2023-12-29 06:40:50-06:00,2023-12-29 06:41:25 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:42:15 -0600,25.0
2023-12-29 06:41:42-06:00,2023-12-29 06:42:08 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:42:48 -0600,25.0
2023-12-29 06:42:11-06:00,2023-12-29 06:42:41 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:43:24 -0600,25.0
2023-12-29 06:42:43-06:00,2023-12-29 06:43:14 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:43:55 -0600,25.0
2023-12-29 06:43:30-06:00,2023-12-29 06:43:49 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:44:20 -0600,25.0
2023-12-29 06:43:49-06:00,2023-12-29 06:44:14 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:45:07 -0600,25.0
2023-12-29 06:44:16-06:00,2023-12-29 06:44:46 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:47:23 -0600,25.0
2023-12-29 06:46:40-06:00,2023-12-29 06:47:15 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:47:59 -0600,25.0
2023-12-29 06:47:15-06:00,2023-12-29 06:47:53 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:48:40 -0600,25.0
2023-12-29 06:47:53-06:00,2023-12-29 06:48:34 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:49:21 -0600,25.0
2023-12-29 06:48:34-06:00,2023-12-29 06:49:15 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:50:04 -0600,25.0
2023-12-29 06:49:15-06:00,2023-12-29 06:49:58 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:50:46 -0600,25.0
2023-12-29 06:49:58-06:00,2023-12-29 06:50:39 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:51:32 -0600,25.0
2023-12-29 06:50:39-06:00,2023-12-29 06:51:27 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:52:26 -0600,25.0
2023-12-29 06:51:27-06:00,2023-12-29 06:52:19 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:54:03 -0600,25.0
2023-12-29 06:53:35-06:00,2023-12-29 06:53:56 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:54:29 -0600,25.0
2023-12-29 06:54:00-06:00,2023-12-29 06:54:22 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:54:55 -0600,25.0
2023-12-29 06:54:25-06:00,2023-12-29 06:54:49 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:55:36 -0600,25.0
2023-12-29 06:54:55-06:00,2023-12-29 06:55:19 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:56:19 -0600,25.0
2023-12-29 06:55:46-06:00,2023-12-29 06:56:13 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:56:53 -0600,25.0
2023-12-29 06:56:15-06:00,2023-12-29 06:56:45 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:57:29 -0600,25.0
2023-12-29 06:56:47-06:00,2023-12-29 06:57:17 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:57:59 -0600,25.0
2023-12-29 06:57:30-06:00,2023-12-29 06:57:53 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:58:35 -0600,25.0
2023-12-29 06:57:57-06:00,2023-12-29 06:58:30 -0600,25,m,Luis’s Apple Watch,2023-12-29 06:59:16 -0600,25.0
2023-12-29 06:58:36-06:00,2023-12-29 06:59:11 -0600,25,m,Luis’s Apple Watch,2023-12-29 07:00:10 -0600,25.0
2023-12-29 06:59:38-06:00,2023-12-29 07:00:03 -0600,25,m,Luis’s Apple Watch,2023-12-29 07:00:44 -0600,25.0
2023-12-29 07:00:06-06:00,2023-12-29 07:00:37 -0600,25,m,Luis’s Apple Watch,2023-12-29 07:01:20 -0600,25.0
2023-12-29 07:00:40-06:00,2023-12-29 07:01:09 -0600,25,m,Luis’s Apple Watch,2023-12-29 07:01:56 -0600,25.0
2023-12-29 07:01:36-06:00,2023-12-29 07:01:50 -0600,25,m,Luis’s Apple Watch,2023-12-29 07:02:21 -0600,25.0
2023-12-29 07:01:54-06:00,2023-12-29 07:02:16 -0600,25,m,Luis’s Apple Watch,2023-12-29 07:03:00 -0600,25.0
2023-12-29 07:02:21-06:00,2023-12-29 07:02:46 -0600,25,m,Luis’s Apple Watch,2023-12-29 07:04:48 -0600,25.0
2023-12-29 07:04:03-06:00,2023-12-29 07:04:41 -0600,25,m,Luis’s Apple Watch,2023-12-29 07:05:26 -0600,25.0
2023-12-29 07:04:41-06:00,2023-12-29 07:05:19 -0600,25,m,Luis’s Apple Watch,2023-12-29 07:06:07 -0600,25.0
2023-12-29 07:05:19-06:00,2023-12-29 07:06:02 -0600,25,m,Luis’s Apple Watch,2023-12-29 07:06:53 -0600,25.0
2023-12-29 07:06:02-06:00,2023-12-29 07:06:48 -0600,25,m,Luis’s Apple Watch,2023-12-29 07:07:32 -0600,25.0
2023-12-29 07:06:48-06:00,2023-12-29 07:07:25 -0600,25,m,Luis’s Apple Watch,2023-12-29 07:08:15 -0600,25.0
2023-12-29 07:07:25-06:00,2023-12-29 07:08:10 -0600,25,m,Luis’s Apple Watch,2023-12-29 07:10:29 -0600,25.0
2023-12-29 07:08:52-06:00,2023-12-29 07:10:23 -0600,25,m,Luis’s Apple Watch,2023-12-29 07:11:02 -0600,25.0
2023-12-29 07:10:37-06:00,2023-12-29 07:10:57 -0600,25,m,Luis’s Apple Watch,2023-12-29 07:11:31 -0600,25.0
2023-12-29 07:11:01-06:00,2023-12-29 07:11:23 -0600,25,m,Luis’s Apple Watch,2023-12-29 07:11:56 -0600,25.0
2023-12-29 07:11:25-06:00,2023-12-29 07:11:50 -0600,25,m,Luis’s Apple Watch,2023-12-29 07:12:27 -0600,25.0
2023-12-29 07:11:53-06:00,2023-12-29 07:12:21 -0600,25,m,Luis’s Apple Watch,2023-12-29 07:14:20 -0600,25.0
2023-12-29 07:13:53-06:00,2023-12-29 07:14:14 -0600,25,m,Luis’s Apple Watch,2023-12-29 07:14:51 -0600,25.0
2023-12-29 07:14:23-06:00,2023-12-29 07:14:44 -0600,25,m,Luis’s Apple Watch,2023-12-29 07:15:24 -0600,25.0
2023-12-29 07:14:46-06:00,2023-12-29 07:15:17 -0600,25,m,Luis’s Apple Watch,2023-12-29 07:16:00 -0600,25.0
2023-12-29 07:15:18-06:00,2023-12-29 07:15:43 -0600,25,m,Luis’s Apple Watch,2023-12-29 07:16:54 -0600,25.0
2023-12-29 07:16:25-06:00,2023-12-29 07:16:48 -0600,25,m,Luis’s Apple Watch,2023-12-29 07:17:22 -0600,25.0
2023-12-29 07:16:50-06:00,2023-12-29 07:17:16 -0600,25,m,Luis’s Apple Watch,2023-12-29 07:17:53 -0600,25.0
2023-12-29 07:17:18-06:00,2023-12-29 07:17:46 -0600,25,m,Luis’s Apple Watch,2023-12-29 07:18:24 -0600,25.0
2023-12-29 07:17:47-06:00,2023-12-29 07:18:14 -0600,25,m,Luis’s Apple Watch,2023-12-29 07:21:03 -0600,25.0
2023-12-29 07:20:27-06:00,2023-12-29 07:20:57 -0600,25,m,Luis’s Apple Watch,2023-12-29 07:21:36 -0600,25.0
2023-12-29 07:20:57-06:00,2023-12-29 07:21:29 -0600,25,m,Luis’s Apple Watch,2023-12-29 07:22:10 -0600,25.0
2023-12-29 07:21:31-06:00,2023-12-29 07:22:00 -0600,25,m,Luis’s Apple Watch,2023-12-29 07:22:35 -0600,25.0
2023-12-29 07:22:04-06:00,2023-12-29 07:22:28 -0600,25,m,Luis’s Apple Watch,2023-12-29 07:24:08 -0600,25.0
2023-12-29 07:23:38-06:00,2023-12-29 07:24:02 -0600,25,m,Luis’s Apple Watch,2023-12-29 07:24:39 -0600,25.0
2023-12-29 07:24:06-06:00,2023-12-29 07:24:32 -0600,25,m,Luis’s Apple Watch,2023-12-29 07:25:07 -0600,25.0
2023-12-29 07:24:37-06:00,2023-12-29 07:25:01 -0600,25,m,Luis’s Apple Watch,2023-12-29 07:25:56 -0600,25.0
2023-12-29 07:25:01-06:00,2023-12-29 07:25:30 -0600,25,m,Luis’s Apple Watch,2023-12-29 07:28:45 -0600,25.0
2023-12-29 07:27:11-06:00,2023-12-29 07:28:29 -0600,25,m,Luis’s Apple Watch,2023-12-29 07:31:10 -0600,25.0
2023-12-29 07:28:29-06:00,2023-12-29 07:28:48 -0600,25,m,Luis’s Apple Watch,2023-12-29 07:31:10 -0600,25.0
2024-01-06 06:17:12-06:00,2024-01-06 06:17:27 -0600,25,m,Luis’s Apple Watch,2024-01-06 06:18:05 -0600,25.0
2024-01-06 06:17:33-06:00,2024-01-06 06:17:56 -0600,25,m,Luis’s Apple Watch,2024-01-06 06:19:53 -0600,25.0
2024-01-06 06:19:20-06:00,2024-01-06 06:19:46 -0600,25,m,Luis’s Apple Watch,2024-01-06 06:20:21 -0600,25.0
2024-01-06 06:19:46-06:00,2024-01-06 06:20:16 -0600,25,m,Luis’s Apple Watch,2024-01-06 06:20:52 -0600,25.0
2024-01-06 06:20:18-06:00,2024-01-06 06:20:46 -0600,25,m,Luis’s Apple Watch,2024-01-06 06:21:38 -0600,25.0
2024-01-06 06:20:48-06:00,2024-01-06 06:21:24 -0600,25,m,Luis’s Apple Watch,2024-01-06 06:23:39 -0600,25.0
2024-01-06 06:23:03-06:00,2024-01-06 06:23:32 -0600,25,m,Luis’s Apple Watch,2024-01-06 06:24:10 -0600,25.0
2024-01-06 06:23:37-06:00,2024-01-06 06:24:02 -0600,25,m,Luis’s Apple Watch,2024-01-06 06:24:41 -0600,25.0
2024-01-06 06:24:03-06:00,2024-01-06 06:24:34 -0600,25,m,Luis’s Apple Watch,2024-01-06 06:25:14 -0600,25.0
2024-01-06 06:24:36-06:00,2024-01-06 06:25:09 -0600,25,m,Luis’s Apple Watch,2024-01-06 06:27:51 -0600,25.0
2024-01-06 06:27:18-06:00,2024-01-06 06:27:43 -0600,25,m,Luis’s Apple Watch,2024-01-06 06:28:22 -0600,25.0
2024-01-06 06:27:49-06:00,2024-01-06 06:28:15 -0600,25,m,Luis’s Apple Watch,2024-01-06 06:28:52 -0600,25.0
2024-01-06 06:28:18-06:00,2024-01-06 06:28:47 -0600,25,m,Luis’s Apple Watch,2024-01-06 06:29:28 -0600,25.0
2024-01-06 06:28:47-06:00,2024-01-06 06:29:18 -0600,25,m,Luis’s Apple Watch,2024-01-06 06:33:27 -0600,25.0
2024-01-06 06:32:18-06:00,2024-01-06 06:33:20 -0600,25,m,Luis’s Apple Watch,2024-01-06 06:34:06 -0600,25.0
2024-01-06 06:33:20-06:00,2024-01-06 06:34:00 -0600,25,m,Luis’s Apple Watch,2024-01-06 06:34:47 -0600,25.0
2024-01-06 06:34:00-06:00,2024-01-06 06:34:40 -0600,25,m,Luis’s Apple Watch,2024-01-06 06:35:41 -0600,25.0
2024-01-06 06:34:40-06:00,2024-01-06 06:35:35 -0600,25,m,Luis’s Apple Watch,2024-01-06 06:38:09 -0600,25.0
2024-01-06 06:37:30-06:00,2024-01-06 06:38:03 -0600,25,m,Luis’s Apple Watch,2024-01-06 06:38:40 -0600,25.0
2024-01-06 06:38:03-06:00,2024-01-06 06:38:33 -0600,25,m,Luis’s Apple Watch,2024-01-06 06:39:11 -0600,25.0
2024-01-06 06:38:33-06:00,2024-01-06 06:39:05 -0600,25,m,Luis’s Apple Watch,2024-01-06 06:39:50 -0600,25.0
2024-01-06 06:39:05-06:00,2024-01-06 06:39:43 -0600,25,m,Luis’s Apple Watch,2024-01-06 06:41:48 -0600,25.0
2024-01-06 06:40:46-06:00,2024-01-06 06:41:41 -0600,25,m,Luis’s Apple Watch,2024-01-06 06:42:16 -0600,25.0
2024-01-06 06:41:41-06:00,2024-01-06 06:42:11 -0600,25,m,Luis’s Apple Watch,2024-01-06 06:42:47 -0600,25.0
2024-01-06 06:42:11-06:00,2024-01-06 06:42:41 -0600,25,m,Luis’s Apple Watch,2024-01-06 06:43:25 -0600,25.0
2024-01-06 06:42:41-06:00,2024-01-06 06:43:19 -0600,25,m,Luis’s Apple Watch,2024-01-06 06:48:38 -0600,25.0
2024-01-06 06:48:08-06:00,2024-01-06 06:48:32 -0600,25,m,Luis’s Apple Watch,2024-01-06 06:49:17 -0600,25.0
